Graph_Num,ID,Title,Author,Date_Published,Time_Published,Date_Edited,Time_Edited,Summary_Text,Article_Text,Is_Tweet
1,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ","Russia's energy exporter says it proves Kiev was lying when it claimed “technical problems”.Gazprom's spokesman shows a fax from Ukraine offering to transit gas to Europe as bound under contract. Sergey Kupriyanov, says that proves all along Kiev was lying.",FALSE
2,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ",“Today we received a letter from Naftogaz saying they could send 99 million cubic meters through the Sudzha pipeline to Europe. That shows Naftogaz always did have the possibility of doing so.”,FALSE
3,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ",But the damage has already been done – EU leaders and gas firms say they're looking for alternative supply states.,FALSE
4,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ","Kupriyanov was speaking in Gazprom's 'Hall of Fame', which features oil paintings of all Gazprom's former heads. Those heads nurtured uninterrupted supplies to Europe since 1967. This letter, proving the destruction of that reputation was unnecessary, must have them turning in their graves.",FALSE
5,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ","EU gas giants E.On, Eni, Gaz de France and Shell have come out of all-day talks with Gazprom to lay the blame fully on Ukraine.",FALSE
6,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ","Europe's gas companies are losing millions of dollars every day, as they can't sell on Russian gas to consumers. Mikhail Krutikhin, Partner and Analyst at Rusenergy consultants, warns they're now queuing up to sue Kiev.",FALSE
7,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ","“The companies are starting to feel it in a dramatic way. The litigation is going to be very difficult, because there are quite a lot of companies involved in Russia-Ukrainian trade.”",FALSE
8,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ",Demands for compensation come at the worst possible time for Kiev.  Economists have predicted to this programme Ukraine will announce national bankruptcy before the spring.,FALSE
9,3,        Ukraine can transit gas - Gazprom    ,"NA","16 Jan, 2009 ",05:35,"16 Jan, 2009 ",08:35,"

        Gazprom has published a letter from Ukraine's Naftogaz admitting it can transit gas to the EU. Tens of thousands of European families have entered their third day without central heating.

    ", ,FALSE
1,4,        Greenlanders ready to break free?     ,"NA","16 Jan, 2009 ",07:50,"16 Jan, 2009 ",10:50,"

        Greenland has been ruled by Denmark for more than two centuries but now the people there want to be their own masters.

    ","Following a nationwide referendum, the overwhelming consensus was for Greenland to go it alone…but is Greenland truly ready for independence?",FALSE
2,4,        Greenlanders ready to break free?     ,"NA","16 Jan, 2009 ",07:50,"16 Jan, 2009 ",10:50,"

        Greenland has been ruled by Denmark for more than two centuries but now the people there want to be their own masters.

    ","Greenland is the largest island on earth, but not enough to be a continent in its own right, nor even a nation.",FALSE
3,4,        Greenlanders ready to break free?     ,"NA","16 Jan, 2009 ",07:50,"16 Jan, 2009 ",10:50,"

        Greenland has been ruled by Denmark for more than two centuries but now the people there want to be their own masters.

    ","Its icy lands are almost half the size of the entire European Union but just 56,000 people live there. It remains a protectorate of Denmark, its former colonial master.",FALSE
4,4,        Greenlanders ready to break free?     ,"NA","16 Jan, 2009 ",07:50,"16 Jan, 2009 ",10:50,"

        Greenland has been ruled by Denmark for more than two centuries but now the people there want to be their own masters.

    ","Hans Enoksen, Prime Minister of Greenland dreams his country will become independent one day.",FALSE
5,4,        Greenlanders ready to break free?     ,"NA","16 Jan, 2009 ",07:50,"16 Jan, 2009 ",10:50,"

        Greenland has been ruled by Denmark for more than two centuries but now the people there want to be their own masters.

    ","“It’s always been my dream to see us take control of our own destiny, to be our own masters, during my lifetime,” he said.",FALSE
6,4,        Greenlanders ready to break free?     ,"NA","16 Jan, 2009 ",07:50,"16 Jan, 2009 ",10:50,"

        Greenland has been ruled by Denmark for more than two centuries but now the people there want to be their own masters.

    ",The first step was taken on November 25 when the largely Inuit population of the island went to the polls over a plan for greater self-determination. A resounding 75% voted “Yes!”,FALSE
